snapshot_index,spoold_mem_fraction,spad_mem_fraction,total_mem,free_mem,used_mem,buff_cache_mem,total_swap,free_swap,used_swap,avail_mem,operation,num_streams,dedup_ratio,run_timestamp
1,0.11,0.003,65199836,3091696,15917764,46190376,67108860,65375996,1732864,41973716,backup,60,0.0,2019-10-22 14:53:42
2,0.11,0.003,65199836,3474196,15932008,45793632,67108860,65375484,1733376,41961368,backup,60,0.0,2019-10-22 14:53:42
3,0.11,0.003,65199836,3028860,15946260,46224716,67108860,65375484,1733376,41946032,backup,60,0.0,2019-10-22 14:53:42
4,0.11,0.003,65199836,4397236,15973832,44828768,67108860,65374972,1733888,41920676,backup,60,0.0,2019-10-22 14:53:42
5,0.11,0.003,65199836,4121896,15963128,45114812,67108860,65374972,1733888,41931312,backup,60,0.0,2019-10-22 14:53:42
6,0.11,0.003,65199836,3743132,15968204,45488500,67108860,65374972,1733888,41926140,backup,60,0.0,2019-10-22 14:53:42
7,0.11,0.003,65199836,3273016,15960764,45966056,67108860,65374972,1733888,41930276,backup,60,0.0,2019-10-22 14:53:42
8,0.11,0.003,65199836,2959388,15956320,46284128,67108860,65374972,1733888,41935108,backup,60,0.0,2019-10-22 14:53:42
9,0.11,0.003,65199836,3321308,15960700,45917828,67108860,65374716,1734144,41935764,backup,60,0.0,2019-10-22 14:53:42
10,0.11,0.003,65199836,3032436,15958076,46209324,67108860,65374716,1734144,41936624,backup,60,0.0,2019-10-22 14:53:42
11,0.11,0.003,65199836,3294628,15962860,45942348,67108860,65374716,1734144,41927928,backup,60,0.0,2019-10-22 14:53:42
12,0.11,0.003,65199836,2974656,15957716,46267464,67108860,65374716,1734144,41933192,backup,60,0.0,2019-10-22 14:53:42
13,0.11,0.003,65199836,3313680,15944780,45941376,67108860,65374716,1734144,41943520,backup,60,0.0,2019-10-22 14:53:42
14,0.11,0.003,65199836,2913124,15951228,46335484,67108860,65374716,1734144,41938160,backup,60,0.0,2019-10-22 14:53:42
15,0.11,0.003,65199836,4340452,15947584,44911800,67108860,65374460,1734400,41940696,backup,60,0.0,2019-10-22 14:53:42
