snapshot_index,spoold_mem_fraction,spad_mem_fraction,total_mem,free_mem,used_mem,buff_cache_mem,total_swap,free_swap,used_swap,avail_mem,operation,num_streams,dedup_ratio,run_timestamp
1,0.166,0.005,65199836,3624964,18354928,43219944,67108860,67095796,13064,36220184,backup,40,0.98,2019-10-24 14:01:06
2,0.166,0.005,65199836,3253480,18366384,43579972,67108860,67095796,13064,36209504,backup,40,0.98,2019-10-24 14:01:06
3,0.166,0.005,65199836,3919180,18345924,42934732,67108860,67095028,13832,36231364,backup,40,0.98,2019-10-24 14:01:06
4,0.166,0.005,65199836,3406492,18339568,43453776,67108860,67095028,13832,36237872,backup,40,0.98,2019-10-24 14:01:06
5,0.166,0.005,65199836,2906572,18343944,43949320,67108860,67095028,13832,36232400,backup,40,0.98,2019-10-24 14:01:06
6,0.166,0.005,65199836,3702192,18325912,43171732,67108860,67094524,14336,36249196,backup,40,0.98,2019-10-24 14:01:06
7,0.166,0.005,65199836,3164160,18306868,43728808,67108860,67094524,14336,36267828,backup,40,0.98,2019-10-24 14:01:06
8,0.166,0.005,65199836,3832792,18313164,43053880,67108860,67094004,14856,36263920,backup,40,0.98,2019-10-24 14:01:06
9,0.166,0.005,65199836,3279408,18302340,43618088,67108860,67094004,14856,36274320,backup,40,0.98,2019-10-24 14:01:06
10,0.166,0.005,65199836,2887868,18313052,43998916,67108860,67094004,14856,36263888,backup,40,0.98,2019-10-24 14:01:06
11,0.166,0.005,65199836,3557880,18282636,43359320,67108860,67093500,15360,36295252,backup,40,0.98,2019-10-24 14:01:06
12,0.166,0.005,65199836,3142284,18306168,43751384,67108860,67093500,15360,36271448,backup,40,0.98,2019-10-24 14:01:06
13,0.166,0.005,65199836,3717168,18294384,43188284,67108860,67093236,15624,36282960,backup,40,0.98,2019-10-24 14:01:06
14,0.166,0.005,65199836,3162304,18275236,43762296,67108860,67093236,15624,36299824,backup,40,0.98,2019-10-24 14:01:06
15,0.166,0.005,65199836,4035800,18271628,42892408,67108860,67092980,15880,36306040,backup,40,0.98,2019-10-24 14:01:06
16,0.166,0.005,65199836,3429860,18246264,43523712,67108860,67092980,15880,36328724,backup,40,0.98,2019-10-24 14:01:06
17,0.166,0.005,65199836,2973536,18271420,43954880,67108860,67092980,15880,36303956,backup,40,0.98,2019-10-24 14:01:06
18,0.166,0.005,65199836,3102040,18267500,43830296,67108860,67092724,16136,36309912,backup,40,0.98,2019-10-24 14:01:06
19,0.166,0.005,65199836,3898404,18249424,43052008,67108860,67092476,16384,36327044,backup,40,0.98,2019-10-24 14:01:06
20,0.166,0.005,65199836,3384488,18243836,43571512,67108860,67092476,16384,36331988,backup,40,0.98,2019-10-24 14:01:06
21,0.166,0.005,65199836,3004380,18242500,43952956,67108860,67092476,16384,36333192,backup,40,0.98,2019-10-24 14:01:06
22,0.166,0.005,65199836,3050168,18236828,43912840,67108860,67092476,16384,36339476,backup,40,0.98,2019-10-24 14:01:06
23,0.166,0.005,65199836,3038812,18236184,43924840,67108860,67092476,16384,36340320,backup,40,0.98,2019-10-24 14:01:06
24,0.166,0.005,65199836,3789036,18215044,43195756,67108860,67092212,16648,36361968,backup,40,0.98,2019-10-24 14:01:06
25,0.166,0.005,65199836,3338300,18218884,43642652,67108860,67092212,16648,36358404,backup,40,0.98,2019-10-24 14:01:06
26,0.166,0.005,65199836,3419896,18217392,43562548,67108860,67091956,16904,36359084,backup,40,0.98,2019-10-24 14:01:06
27,0.166,0.005,65199836,3500104,18207916,43491816,67108860,67091700,17160,36369680,backup,40,0.98,2019-10-24 14:01:06
28,0.166,0.005,65199836,3072604,18197676,43929556,67108860,67091700,17160,36377696,backup,40,0.98,2019-10-24 14:01:06
29,0.166,0.005,65199836,3272068,18199236,43728532,67108860,67091700,17160,36376928,backup,40,0.98,2019-10-24 14:01:06
30,0.166,0.005,65199836,3344820,18199880,43655136,67108860,67091700,17160,36375712,backup,40,0.98,2019-10-24 14:01:06
31,0.166,0.005,65199836,2896124,18195628,44108084,67108860,67091700,17160,36381080,backup,40,0.98,2019-10-24 14:01:06
32,0.166,0.005,65199836,3504320,18187664,43507852,67108860,67091452,17408,36388264,backup,40,0.98,2019-10-24 14:01:06
33,0.166,0.005,65199836,3107144,18192712,43899980,67108860,67091452,17408,36384640,backup,40,0.98,2019-10-24 14:01:06
34,0.166,0.005,65199836,3690576,18157368,43351892,67108860,67091188,17672,36419928,backup,40,0.98,2019-10-24 14:01:06
35,0.166,0.005,65199836,3365692,18162392,43671752,67108860,67091188,17672,36414816,backup,40,0.98,2019-10-24 14:01:06
36,0.166,0.005,65199836,2938104,18167356,44094376,67108860,67091188,17672,36409604,backup,40,0.98,2019-10-24 14:01:06
37,0.166,0.005,65199836,3040992,18157152,44001692,67108860,67091188,17672,36419780,backup,40,0.98,2019-10-24 14:01:06
38,0.166,0.005,65199836,3172368,18148840,43878628,67108860,67091188,17672,36428028,backup,40,0.98,2019-10-24 14:01:06
39,0.166,0.005,65199836,3419768,18148584,43631484,67108860,67091188,17672,36428440,backup,40,0.98,2019-10-24 14:01:06
40,0.166,0.005,65199836,2934736,18141768,44123332,67108860,67091188,17672,36434992,backup,40,0.98,2019-10-24 14:01:06
41,0.166,0.005,65199836,3720664,18124892,43354280,67108860,67091188,17672,36451844,backup,40,0.98,2019-10-24 14:01:06
42,0.166,0.005,65199836,3137940,18127096,43934800,67108860,67091188,17672,36449548,backup,40,0.98,2019-10-24 14:01:06
43,0.166,0.005,65199836,3283124,18117112,43799600,67108860,67091188,17672,36458724,backup,40,0.98,2019-10-24 14:01:06
44,0.166,0.005,65199836,3965600,18110000,43124236,67108860,67091188,17672,36466724,backup,40,0.98,2019-10-24 14:01:06
45,0.166,0.005,65199836,3623084,18103744,43473008,67108860,67091188,17672,36472956,backup,40,0.98,2019-10-24 14:01:06
46,0.166,0.005,65199836,3090248,18103576,44006012,67108860,67091188,17672,36472852,backup,40,0.98,2019-10-24 14:01:06
47,0.166,0.005,65199836,4044256,18089440,43066140,67108860,67090676,18184,36486900,backup,40,0.98,2019-10-24 14:01:06
48,0.166,0.005,65199836,3555784,18090424,43553628,67108860,67090676,18184,36485392,backup,40,0.98,2019-10-24 14:01:06
49,0.166,0.005,65199836,3035928,18086884,44077024,67108860,67090676,18184,36488816,backup,40,0.98,2019-10-24 14:01:06
50,0.166,0.005,65199836,3872544,18078152,43249140,67108860,67090164,18696,36497032,backup,40,0.98,2019-10-24 14:01:06
51,0.166,0.005,65199836,3344964,18082664,43772208,67108860,67090164,18696,36492368,backup,40,0.98,2019-10-24 14:01:06
1,0.166,0.005,65199836,22067836,18539896,24592104,67108860,67108860,0,37980928,backup,40,0.0,2019-10-24 13:41:07
2,0.166,0.005,65199836,22071224,18535596,24593016,67108860,67108860,0,37984804,backup,40,0.0,2019-10-24 13:41:07
3,0.166,0.005,65199836,22071232,18535516,24593088,67108860,67108860,0,37984820,backup,40,0.0,2019-10-24 13:41:07
4,0.166,0.005,65199836,22071356,18535304,24593176,67108860,67108860,0,37984956,backup,40,0.0,2019-10-24 13:41:07
5,0.166,0.005,65199836,22066508,18535152,24598176,67108860,67108860,0,37985048,backup,40,0.0,2019-10-24 13:41:07
6,0.166,0.005,65199836,22065456,18535472,24598908,67108860,67108860,0,37984664,backup,40,0.0,2019-10-24 13:41:07
7,0.166,0.005,65199836,22053724,18543740,24602372,67108860,67108860,0,37976300,backup,40,0.0,2019-10-24 13:41:07
8,0.166,0.005,65199836,22061560,18535692,24602584,67108860,67108860,0,37984264,backup,40,0.0,2019-10-24 13:41:07
9,0.166,0.005,65199836,22061708,18535452,24602676,67108860,67108860,0,37984412,backup,40,0.0,2019-10-24 13:41:07
10,0.166,0.005,65199836,22061740,18535364,24602732,67108860,67108860,0,37984460,backup,40,0.0,2019-10-24 13:41:07
11,0.166,0.005,65199836,22056660,18535664,24607512,67108860,67108860,0,37984092,backup,40,0.0,2019-10-24 13:41:07
12,0.166,0.005,65199836,21998836,18582288,24618712,67108860,67108860,0,37931768,backup,40,0.0,2019-10-24 13:41:07
13,0.166,0.005,65199836,22055740,18536112,24607984,67108860,67108860,0,37983436,backup,40,0.0,2019-10-24 13:41:07
14,0.166,0.005,65199836,22055716,18536072,24608048,67108860,67108860,0,37983412,backup,40,0.0,2019-10-24 13:41:07
15,0.166,0.005,65199836,22056740,18534896,24608200,67108860,67108860,0,37984476,backup,40,0.0,2019-10-24 13:41:07
16,0.166,0.005,65199836,22057012,18534532,24608292,67108860,67108860,0,37984760,backup,40,0.0,2019-10-24 13:41:07
17,0.166,0.005,65199836,22051040,18535844,24612952,67108860,67108860,0,37983484,backup,40,0.0,2019-10-24 13:41:07
