dedup,jobno,totalsz,avgelapsed,totalthpt,minelpt,maxelpt,effthpt1,effelpt,effthpt2,crSent thpt,dedup
0%,4,122943,126,970.04,125,128,960.5,128,960.5,972.04,0
0%,20,614719,365,1683.02,340,368,1670.43,369,1665.91,1686.47,0
0%,40,1229438,712,1728.49,671,733,1677.27,733,1677.27,1732.02,0
0%,80,2458877,1378,1785.51,1323,1457,1687.63,1457,1687.63,1789.15,0
0%,160,4917755,2513,1987.23,1979,2871,1712.91,2872,1712.31,1991.26,0
50%,4,122943,65,1891.44,65,65,1891.44,65,1891.44,949.11,49.83
50%,20,614719,186,3296.15,186,188,3269.78,188,3269.78,1654.9,49.79
50%,40,1229438,359,3422.03,334,390,3152.41,391,3144.34,1716.41,49.84
50%,80,2458877,708,3471.85,686,736,3340.87,736,3340.87,1741.07,49.86
50%,160,4917755,1313,3775.94,1020,1463,3361.42,1467,3352.25,1893.19,49.86
80%,4,245887,66,3698.2,65,67,3669.96,67,3669.96,743.88,79.9
80%,20,1229438,187,6569.31,187,189,6504.96,190,6470.73,1322.35,79.88
80%,40,2458876,307,8003.85,282,312,7881.01,312,7881.01,1611.22,79.88
80%,80,4917752,586,8393.52,559,617,7970.43,617,7970.43,1688.26,79.89
80%,160,9835505,1095,9007.13,973,1165,8442.49,1168,8420.81,1810.62,79.9
98%,4,409812,66,6162.94,66,67,6116.61,67,6116.61,130.79,97.9
98%,20,2049063,67,30517.56,66,69,29696.57,70,29272.33,644.18,97.9
98%,40,4098126,68,59913.85,66,71,57720.09,72,56918.42,1257.93,97.9
98%,80,8196252,131,62307.64,127,138,59393.14,139,58965.85,1295.78,97.92
98%,160,16392505,248,66336.54,216,271,60488.95,275,59609.11,1373.37,97.93
