sysfs on /sys type sysfs (rw,nosuid,nodev,noexec,relatime)
proc on /proc type proc (rw,nosuid,nodev,noexec,relatime)
devtmpfs on /dev type devtmpfs (rw,nosuid,size=32587052k,nr_inodes=8146763,mode=755)
securityfs on /sys/kernel/security type securityfs (rw,nosuid,nodev,noexec,relatime)
tmpfs on /dev/shm type tmpfs (rw,nosuid,nodev)
devpts on /dev/pts type devpts (rw,nosuid,noexec,relatime,gid=5,mode=620,ptmxmode=000)
tmpfs on /run type tmpfs (rw,nosuid,nodev,mode=755)
tmpfs on /sys/fs/cgroup type tmpfs (ro,nosuid,nodev,noexec,mode=755)
cgroup on /sys/fs/cgroup/systemd type cgroup (rw,nosuid,nodev,noexec,relatime,xattr,release_agent=/usr/lib/systemd/systemd-cgroups-agent,name=systemd)
pstore on /sys/fs/pstore type pstore (rw,nosuid,nodev,noexec,relatime)
cgroup on /sys/fs/cgroup/freezer type cgroup (rw,nosuid,nodev,noexec,relatime,freezer)
cgroup on /sys/fs/cgroup/cpuset type cgroup (rw,nosuid,nodev,noexec,relatime,cpuset)
cgroup on /sys/fs/cgroup/net_cls,net_prio type cgroup (rw,nosuid,nodev,noexec,relatime,net_prio,net_cls)
cgroup on /sys/fs/cgroup/devices type cgroup (rw,nosuid,nodev,noexec,relatime,devices)
cgroup on /sys/fs/cgroup/memory type cgroup (rw,nosuid,nodev,noexec,relatime,memory)
cgroup on /sys/fs/cgroup/pids type cgroup (rw,nosuid,nodev,noexec,relatime,pids)
cgroup on /sys/fs/cgroup/blkio type cgroup (rw,nosuid,nodev,noexec,relatime,blkio)
cgroup on /sys/fs/cgroup/perf_event type cgroup (rw,nosuid,nodev,noexec,relatime,perf_event)
cgroup on /sys/fs/cgroup/cpu,cpuacct type cgroup (rw,nosuid,nodev,noexec,relatime,cpuacct,cpu)
cgroup on /sys/fs/cgroup/hugetlb type cgroup (rw,nosuid,nodev,noexec,relatime,hugetlb)
configfs on /sys/kernel/config type configfs (rw,relatime)
/dev/mapper/system-thunder_cloud_1.3--20190926105122_5d9845d4 on / type ext4 (rw,relatime,stripe=16,data=ordered)
systemd-1 on /proc/sys/fs/binfmt_misc type autofs (rw,relatime,fd=24,pgrp=1,timeout=0,minproto=5,maxproto=5,direct,pipe_ino=19229)
mqueue on /dev/mqueue type mqueue (rw,relatime)
debugfs on /sys/kernel/debug type debugfs (rw,relatime)
hugetlbfs on /dev/hugepages type hugetlbfs (rw,relatime)
/dev/sdb1 on /boot type ext4 (rw,relatime,stripe=64,data=ordered)
/dev/mapper/system-repository on /system/upgrade/repository type ext4 (rw,relatime,stripe=16,data=ordered)
/dev/mapper/system-software on /system/software type ext4 (rw,relatime,stripe=16,data=ordered)
tmpfs on /tmp type tmpfs (rw)
/dev/mapper/system-flex--apps on /opt/veritas/flex-apps type ext4 (rw,relatime,stripe=16,data=ordered)
/dev/mapper/system-config on /system/config type ext4 (rw,relatime,stripe=16,data=ordered)
/dev/mapper/system-newroot on /system/upgrade/volume type ext4 (rw,relatime,stripe=16,data=ordered)
/dev/mapper/system-autosupport on /system/autosupport type xfs (rw,relatime,attr2,inode64,sunit=128,swidth=128,noquota)
/dev/mapper/system-docker on /var/lib/docker type xfs (rw,relatime,attr2,inode64,sunit=128,swidth=128,prjquota)
/dev/mapper/logging-application--log on /log type ext4 (rw,relatime,stripe=16,data=ordered)
/dev/mapper/logging-os--log on /var/log type ext4 (rw,relatime,stripe=16,data=ordered)
/dev/mapper/logging-audit on /var/log/audit type ext4 (rw,relatime,stripe=16,data=ordered)
/dev/mapper/diagnostics-tools on /system/diagnostic type xfs (rw,relatime,attr2,inode64,sunit=128,swidth=128,noquota)
sunrpc on /var/lib/nfs/rpc_pipefs type rpc_pipefs (rw,relatime)
tmpfs on /dev/vx type tmpfs (rw,relatime,size=4k,nr_inodes=2097152,mode=755)
tmpfs on /dev/vx type tmpfs (rw,relatime,size=4k,nr_inodes=2097152,mode=755)
/dev/mapper/system-docker on /var/lib/docker/containers type xfs (rw,relatime,attr2,inode64,sunit=128,swidth=128,prjquota)
/dev/mapper/system-docker on /var/lib/docker/overlay2 type xfs (rw,relatime,attr2,inode64,sunit=128,swidth=128,prjquota)
proc on /run/docker/netns/default type proc (rw,nosuid,nodev,noexec,relatime)
